
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-22490 - git: data exfiltration with maliciously crafted repository
jenkinsci/blueocean:latest (alpine 3.16.2),1,[LOW] CVE-2023-25815 - git: malicious placement of crafted messages when git was compiled with runtime prefix
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-0361 - gnutls: timing side-channel in the TLS RSA key exchange code
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-2603 - libcap: Integer Overflow in _libcap_strdup()
jenkinsci/blueocean:latest (alpine 3.16.2),1,[LOW] CVE-2023-2602 - libcap: Memory Leak on pthread_create() Error
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2022-4450 - openssl: double free after calling PEM_read_bio_ex
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-0215 - openssl: use-after-free following BIO_new_NDEF
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-0286 - openssl: X.400 address type confusion in X.509 GeneralName
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-0464 - openssl: Denial of service by excessive resource usage in verifying X509 policy constraints
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2022-4304 - openssl: timing attack in RSA Decryption implementation
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-0465 - openssl: Invalid certificate policies in leaf certificates are silently ignored
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-2650 - openssl: Possible DoS translating ASN.1 object identifiers
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-3446 - openssl: Excessive time spent checking DH keys and parameters
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-3817 - OpenSSL: Excessive time spent checking DH q parameter value
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-5678 - openssl: Generating excessively long X9.42 DH keys or checking excessively long X9.42 DH keys or parameters may be very slow
jenkinsci/blueocean:latest (alpine 3.16.2),1,[CRITICAL] CVE-2022-32221 - curl: POST following PUT confusion
jenkinsci/blueocean:latest (alpine 3.16.2),1,[CRITICAL] CVE-2023-23914 - curl: HSTS ignored on multiple requests
jenkinsci/blueocean:latest (alpine 3.16.2),1,[CRITICAL] CVE-2023-38545 - curl: heap based buffer overflow in the SOCKS5 proxy handshake
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2022-42915 - curl: HTTP proxy double-free
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2022-42916 - curl: HSTS bypass via IDN
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2022-43551 - curl: HSTS bypass via IDN
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-27533 - curl: TELNET option IAC injection
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-27534 - curl: SFTP path ~ resolving discrepancy
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-28319 - curl: use after free in SSH sha256 fingerprint check
jenkinsci/blueocean:latest (alpine 3.16.2),1,[HIGH] CVE-2023-38039 - curl: out of heap memory issue due to missing limit on header quantity
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2022-43552 - curl: Use-after-free triggered by an HTTP proxy deny response
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-23915 - curl: HSTS amnesia with --parallel
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-23916 - curl: HTTP multi-header compression denial of service
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-27535 - curl: FTP too eager connection reuse
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-27536 - curl: GSS delegation too eager connection re-use
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-27537 - curl: HSTS double-free
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-27538 - curl: SSH connection too eager reuse still
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-28320 - curl: siglongjmp race condition may lead to crash
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-28321 - curl: IDN wildcard match may lead to Improper Cerificate Validation
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-46218 - curl: information disclosure by exploiting a mixed case flaw
jenkinsci/blueocean:latest (alpine 3.16.2),1,[MEDIUM] CVE-2023-46219 - curl: excessively long file name may lead to unknown HSTS status
jenkinsci/blueocean:latest (alpine 3.16.2),1,[LOW] CVE-2022-35252 - curl: Incorrect handling of control code characters in cookies
jenkinsci/blueocean:latest (alpine 3.16.2),1,[LOW] CVE-2023-28322 - curl: more POST-after-PUT confusion
jenkinsci/blueocean:latest (alpine 3.16.2),1,[LOW] CVE-2023-38546 - curl: cookie injection with none file
